,Petitioner City,Petition Count,Latitude,Longitude
0, FORT MYERS,1,26.640628,-81.8723084
1, ST. PETERSBURG,1,27.7712264,-82.6340259
3,ALACHUA,81,29.675568,-82.3640109
4,ALPHARETTA,4,28.621141,-81.4879351
6,ALTAMONTE SPRINGS,489,28.6619154,-81.3885899
7,ALTAMONTE SPRINGS ,1,28.6619154,-81.3885899
9,ALTOONA,1,28.9677745,-81.6478223
10,APOKA,1,30.5886233,-81.5463805
11,APOLLO BEACH,4,27.7741547,-82.4062097
12,APOPKA,61,28.6732806,-81.5116471
13,ARCADIA,26,27.2158826,-81.8584164
14,ARCHER,2,29.5299677,-82.5189969
15,ATLANTIC BEACH,3,30.3344077,-81.398696
16,ATLANTIS,8,26.5909025,-80.1008762
17,ATLANTIS ,1,26.5909025,-80.1008762
18,AUBURNDALE,34,28.0653422,-81.7888642
19,AVE MARIA,13,26.3191149,-81.4324873
20,AVE MARIA ,1,26.3191149,-81.4324873
22,AVENTURA,194,25.9564812,-80.1392121
23,AVON PARK,10,27.5960827,-81.5060858
24,BABSON PARK,4,27.837368,-81.5224612
25,BAL HARBOR,2,25.8949818,-80.1241731
26,BAL HARBOUR,2,25.8917613,-80.1269896
27,BAR HARBOR ISLANDS,1,25.8869749,-80.1297553
28,BAR HARBOUR,1,27.9448021,-82.4570413
29,BARTOW,16,27.8964384,-81.843323
30,BAY HARBOR,6,26.1509185,-80.1178222
31,BAY HARBOR IS,1,27.7961376,-82.6089868
32,BAY HARBOR ISLAND,5,27.7961376,-82.6089868
33,BAY HARBOR ISLANDS,23,25.8875948,-80.1311564
34,BAY HARBOR ISLANDS ,1,25.8875948,-80.1311564
35,BAY PINES,3,27.824732,-82.7726728
36,BEDFORD,1,26.6460881,-80.2594703
37,BELLE GLADE,5,26.6845104,-80.6675577
38,BELLEAIR BLUFFS,1,27.9214103,-82.8170475
39,BELLEVIEW,7,29.0625783,-82.0495108
40,BEVERLY HILLS,12,28.9203666,-82.4636305
41,BIG PINE KEY,3,24.6892686,-81.3689004
42,BLOUNTSTOWN,19,30.4435293,-85.0451953
44,BOCA RATON,1714,26.3586885,-80.0830984
45,BOCA RATON BEACH,1,26.3586885,-80.0830984
46,BOKEELIA,1,26.700581,-82.172197
47,BONIFAY,13,30.7918559,-85.6796533
49,BONITA SPRING,1,26.3439459,-81.7809622
50,BONITA SPRINGS,94,26.339806,-81.7786972
51,BOYNTON,2,26.5289139,-80.058141
52,BOYNTON BEACH,160,26.5289139,-80.058141
53,BRADENTON,164,27.4989278,-82.5748194
54,BRADENTON BEACH,1,27.4682554,-82.6995822
56,BRANDON,54,27.928464,-82.2880508
57,BRICKELL,1,25.7637899,-80.1954649
58,BRONSON,2,29.4477445,-82.6423336
59,BROOKER,1,29.888917,-82.3329764
60,BROOKSVILLE,43,28.5552719,-82.3878709
61,BUNNELL,2,29.4657731,-81.2576832
62,BUSHNELL,15,28.6644827,-82.1117399
63,CALLAHAN,3,30.5637205,-81.8297744
64,CANTONMENT,4,30.605427,-87.344442
65,CAPE CANAVERAL,5,28.4513556,-80.5283059
66,CAPE CORAL,73,26.5625742,-81.9438802
67,CASSADAGA,1,28.9663755,-81.235894
68,CASSELBERRY,49,28.6714702,-81.3382005
69,CELEBRATION,36,28.319057,-81.5408702
70,CHAMPIONS GATE,3,29.0071597,-81.2786591
72,CHAMPIONSGATE,2,28.2616788,-81.6184079
73,CHARLOTTE HARBOR,2,26.9591608,-82.0679253
74,CHATTAHOOCHEE,2,30.7048733,-84.843223
